	feature	x	y	kw_pv	difference_group
87	g__Pediococcus	-0.0314270047390171	0.04833753838330499	3.4801146258757756	Prevent-Predict diff.
88	g__Fusobacterium	-0.006115668952370437	0.05339854653355802	3.3984370699821786	Prevent-Predict diff.
91	g__Lachnospira	0.07218412715917613	-0.0453782868542594	3.3801604247667125	Prevent-Predict diff.
92	g__Limosilactobacillus	-0.010690796311540135	0.06964617508095768	3.3800240696256596	Prevent-Predict diff.
93	g__Sarcina	-0.011704877699749629	0.06668364053947574	3.349104538930158	Prevent-Predict diff.
94	g__Alitiscatomonas	0.023491372048070298	-0.08729928220774898	3.3354166582598377	Prevent-Predict diff.
98	g__Lactobacillus	-0.036695654799649764	0.05318584923848084	3.146933177361855	Prevent-Predict diff.
99	g__Holdemania	0.006402858902100696	-0.08090984149336548	3.1417089538883687	Prevent-Predict diff.
100	g__Gemella	-0.005811192902808776	0.078271626669796	3.116152823871046	Prevent-Predict diff.
101	g__Actinomyces	-0.027289390754693638	0.0547376663509387	3.084762121239154	Prevent-Predict diff.
107	g__Granulicatella	-0.04174122664790136	0.05067176022553603	2.8345980946533436	Prevent-Predict diff.
108	g__Tyzzerella	0.004252708775605814	-0.06577187114944551	2.7730461737623524	Prevent-Predict diff.
112	g__Intestinibacter	0.0020185350752470565	0.09152500817260538	2.3884593757385164	Prevent-Predict diff.
113	g__Enterococcus	-0.006279011655207505	0.0447309047423464	2.285966079738831	Prevent-Predict diff.
116	g__Terrisporobacter	-0.0007122310753310619	0.0655357038080151	2.0652323419308987	Prevent-Predict diff.
118	g__Nanosynbacter	0.002454954393141924	0.06894542655412227	1.9188264287267316	Prevent-Predict diff.
122	g__CAG-217	-0.0017528980474584505	-0.04884710382422055	1.845813652876055	Prevent-Predict diff.
124	g__Coprobacter	-0.009967515261000388	-0.05311655672067568	1.836684021068447	Prevent-Predict diff.
125	g__Bacteroides	0.09126469920216994	0.012176343869707704	1.7402873418661677	Prevent-Predict diff.
127	g__Citrobacter	0.0013951414243658948	0.04806337191920717	1.6348840906997675	Prevent-Predict diff.
129	g__Monoglobus	-0.002740065634664611	-0.04271751005160611	1.620938770905243	Prevent-Predict diff.
130	g__Anaerostipes	-0.011864610014647265	-0.08105513225650522	1.5109519780889789	Prevent-Predict diff.
134	g__Rothia	-0.07767716830053134	-0.015790731008122314	1.406670278971235	Prevent-Predict diff.
136	g__Lachnoclostridium_A	0.022596652273253408	-0.02154585180900975	1.3751676275505358	Prevent-Predict diff.
137	g__Clostridium_AP	0.030571780420144145	-0.020429837134642612	1.3751676275505358	Prevent-Predict diff.
138	g__Lactonifactor	0.01678589699322518	-0.027147648943987586	1.3561096753762445	Prevent-Predict diff.
139	g__Merdimmobilis	0.003895389775293806	-0.04081364224384819	1.3382291054700721	Prevent-Predict diff.
133	g__Slackia	-0.07023222015226643	-0.05779100761938288	1.4505376774031251	Prevent-Healthy diff.
39	g__Phocaeicola	0.14157687741266906	-0.031045911881152185	7.395111631925048	Prevent spec.
65	g__Enterocloster	0.12434526161746257	-0.019200733159543272	5.180981647728008	Prevent spec.
66	g__Pauljensenia	-0.15394169026547505	-0.026916580749532674	4.950441593535361	Prevent spec.
79	g__Sutterella	0.10559575120794824	-0.011615856810364845	4.194110527118496	Prevent spec.
97	g__Eisenbergiella	0.07882341176846425	0.019748507277111353	3.1708793305939307	Prevent spec.
104	g__Gordonibacter	-0.0650887302068686	-0.10945549492460242	2.995843548702058	Predict-Healthy diff.
111	g__Mediterraneibacter_A	-0.05434115233955331	-0.0876399471365147	2.4904475269887927	Predict-Healthy diff.
114	g__Laedolimicola	-0.04633462475815872	-0.09771132122390706	2.207461579466675	Predict-Healthy diff.
115	g__Anaeroglobus	0.04274699320328056	0.07857813429895809	2.0908031221185257	Predict-Healthy diff.
119	g__Clostridium_A	-0.0666462296828153	-0.11932478911883942	1.8694170632645641	Predict-Healthy diff.
120	g__Negativibacillus	-0.07558172102160415	-0.11021226421684094	1.8579625642835496	Predict-Healthy diff.
121	g__Thomasclavelia	0.07318190709881037	0.11936928441505103	1.8579625642835496	Predict-Healthy diff.
123	g__Blautia	0.07681144103492535	0.12204521895597409	1.8382089338105903	Predict-Healthy diff.
128	g__Odoribacter	-0.07580950367887591	-0.1098644046012467	1.631070970877507	Predict-Healthy diff.
132	g__Latilactobacillus	-0.08722631618333412	-0.09420813740035706	1.4597063242905233	Predict-Healthy diff.
0	g__Hominiventricola	-0.026508562308512628	-0.25507260347077276	20.66264514381252	Predict spec.
1	g__Gemmiger	-0.08465703283877583	-0.29777160292034427	16.66074258261138	Predict spec.
3	g__Alistipes	-0.07423132652654865	-0.2697451544133466	14.542576753794869	Predict spec.
5	g__Hominilimicola	-0.05550719823830575	-0.2453637577779454	13.022717685182418	Predict spec.
8	g__UBA3402	-0.06425845038648664	-0.18157803930115146	11.567985884198308	Predict spec.
9	g__Gallintestinimicrobium	-0.0916184078145424	-0.23398155366118747	11.45513050038174	Predict spec.
10	g__Parabacteroides	0.01980735407577788	-0.18427241459278068	11.449786229378653	Predict spec.
11	g__Fusicatenibacter	-0.04301109855133737	-0.2301976373486671	11.449786229378653	Predict spec.
12	g__Vescimonas	-0.0899325754582021	-0.23826302098613314	11.449786229378653	Predict spec.
13	g__Evtepia	-0.07018309699515075	-0.20431359893602463	11.360345979217856	Predict spec.
14	g__Ruminococcus_C	-0.05120394403154732	-0.22159300145570168	10.99586298274312	Predict spec.
15	g__Otoolea	0.0185684439840653	-0.18091731558550786	10.93772638009579	Predict spec.
17	g__Acetatifactor	-0.029002355723427607	-0.1946747442742866	10.476365451911525	Predict spec.
20	g__Ruminococcus_E	-0.07968552864613074	-0.21025745802633675	9.479358267957418	Predict spec.
22	g__Dysosmobacter	0.014545049545463097	-0.16674259506067282	9.396370581433299	Predict spec.
23	g__Anaerotignum	5.3389979226002754e-05	-0.1748653964901105	9.33518416459206	Predict spec.
26	g__Lawsonibacter	0.00573340545356756	-0.16688592998661647	9.077096885165364	Predict spec.
28	g__Hominicoprocola	-0.04832832474061001	-0.18078389954820165	8.95723522603236	Predict spec.
30	g__Eubacterium_I	-0.037704484714492684	-0.18895007865259583	8.59731767955482	Predict spec.
32	g__Lacticaseibacillus	-0.008671714207817422	0.12075248042067266	8.226541102281505	Predict spec.
33	g__Agathobacter	-0.047526599806658285	-0.19651169450940625	7.779009616492386	Predict spec.
34	g__Anthropogastromicrobium	-0.05474103015527298	-0.19541433013973059	7.728603241935245	Predict spec.
37	g__Pseudoscilispira	-0.01739123870440901	-0.14243887310248868	7.586274671398891	Predict spec.
44	g__Mediterraneibacter	-0.046074020392346295	-0.18664288927446823	6.989850515550097	Predict spec.
48	g__Enterococcus_B	0.03535291870325367	0.15779289360525062	6.387123203933661	Predict spec.
49	g__Coprococcus_A	-0.09288423170725837	-0.18971858296801092	6.3402858475599855	Predict spec.
50	g__Brotaphodocola	-0.03368568531508618	-0.1609153876888431	6.273702565914655	Predict spec.
53	g__Agathobaculum	-0.038825674278239686	-0.17254598312950722	6.185265386577642	Predict spec.
55	g__Enterococcus_A	-0.005240642202678021	0.0927184181188758	5.878475408902992	Predict spec.
56	g__Barnesiella	-0.0723892628375548	-0.15337738158104294	5.841089635716622	Predict spec.
58	g__Ruthenibacterium	-0.07695881050627261	-0.1786312911598953	5.670577655153259	Predict spec.
61	g__Bittarella	-0.024865507578970134	-0.10976535541752935	5.236299218423565	Predict spec.
63	g__Roseburia	-0.035051287201765625	-0.15697332796875138	5.233748460510472	Predict spec.
64	g__Phascolarctobacterium	-0.08571925273284488	-0.1650421343213105	5.180981647728008	Predict spec.
67	g__Peptostreptococcus	0.027681719577448936	0.10658404651539659	4.815338037355172	Predict spec.
68	g__Dorea_A	-0.07824049822478323	-0.17376439985135642	4.770788968012925	Predict spec.
69	g__Butyribacter	-0.06483545602263033	-0.13293029116827743	4.745751022752711	Predict spec.
70	g__Alistipes_A	-0.024812445816829395	-0.10345645328482848	4.636236567061251	Predict spec.
71	g__Pararoseburia	-0.015924217738339175	-0.0984699765020131	4.6115595444888555	Predict spec.
72	g__Dorea	-0.0760593862865651	-0.1681394120753389	4.564233555282144	Predict spec.
73	g__Guopingia	-0.04186222934672105	-0.10832655775447533	4.51533685606384	Predict spec.
74	g__Butyricimonas	-0.06424422764611896	-0.12477200526399614	4.4895312579994515	Predict spec.
76	g__CAG-488	-0.05746906116347264	-0.11195868713031185	4.314037135425991	Predict spec.
77	g__Enterococcus_D	0.01039726083149205	0.07210668812499484	4.311254843532895	Predict spec.
78	g__Avimonas	-0.025328293669392623	-0.0809273741768021	4.2040240470051	Predict spec.
81	g__Allocoprobacillus	-0.08098384603030188	-0.141277385213312	4.187175084190174	Predict spec.
82	g__Faecalimonas	0.09082696701593343	0.16522235074866648	4.120029751956595	Predict spec.
83	g__Senegalimassilia	-0.07110790333612979	-0.12514689734369372	4.033224424980549	Predict spec.
86	g__Merdivicinus	0.006652194481314104	-0.06683151580176756	3.7063969953757088	Predict spec.
89	g__Veillonella	0.05594875962387197	0.14207913876106093	3.3931505278238228	Predict spec.
90	g__Eubacterium_F	-0.04747003706227328	-0.0881132597379737	3.3843267882707666	Predict spec.
95	g__Prevotella	-0.06785122400903609	-0.14692926575077606	3.3215630672756933	Predict spec.
96	g__Schaedlerella	-0.03358973652045246	-0.11650971073167868	3.262314123210618	Predict spec.
102	g__Pseudobutyricicoccus	-0.04930619284372974	-0.10023379239626383	3.020997791428625	Predict spec.
103	g__Anaerotruncus	-0.014114538135105508	-0.0793149959625932	3.020997791428625	Predict spec.
105	g__Butyricicoccus	0.021559705094760618	0.07614723821817644	2.8823642293077154	Predict spec.
106	g__Parasutterella	-0.03683667874067919	-0.10994948351927762	2.8730051857837244	Predict spec.
109	g__UMGS1202	-0.012489972968040892	-0.06631713061919012	2.7639130941151318	Predict spec.
110	g__Corynebacterium	0.010887507751393468	0.06194213236547332	2.5526461196214205	Predict spec.
117	g__Ruminiclostridium_E	-0.016024652166473474	-0.05528844407562945	2.062543216549374	Predict spec.
135	g__Blautia_A	-0.046583085091811145	-0.09876726375582218	1.4047856602073474	None
36	g__Catenibacterium	-0.12582956868336378	-0.1617679231523626	7.64034558743934	Healthy spec.
51	g__Roseburia_D	-0.10313598296422036	-0.14396945541110295	6.273702565914655	Healthy spec.
54	g__Ruminococcus_B	0.1731441402528497	0.22764575876704024	5.878719133527586	Healthy spec.
59	g__JAGTTR01	-0.09623062370436301	-0.1354227961207366	5.571053091449735	Healthy spec.
60	g__RUG11247	-0.09701571897265428	-0.12803895189478712	5.251484026777638	Healthy spec.
84	g__Collinsella	-0.11391124047240503	-0.17906017831647122	3.9165138073843155	Healthy spec.
126	g__Limisoma	-0.060148953665812875	-0.06611812418448576	1.6622061034498063	Healthy spec.
131	g__Weissella	-0.09997295491216251	-0.10337759113502816	1.481171391943814	Healthy spec.
2	g__Lentihominibacter	-0.12032328945289705	-0.28680843692285335	15.52467482411811	All pairs diff.
4	g__Adlercreutzia	-0.17010244311669698	-0.2744932984635502	13.15843734421241	All pairs diff.
6	g__Anaerotardibacter	-0.13020076382680107	-0.22476655686037833	12.288896466828948	All pairs diff.
7	g__Anaerobutyricum	-0.11497882124553575	-0.2775351142628031	11.809067359319354	All pairs diff.
16	g__Murimonas	-0.13346356987282243	-0.24221779364799964	10.604734733325481	All pairs diff.
18	g__Limivivens	-0.10872125310657467	-0.2374682525712274	10.120396517551002	All pairs diff.
19	g__Hominenteromicrobium	-0.10159719186214175	-0.22447283202431936	10.001632433229044	All pairs diff.
21	g__CAG-170	-0.12925484218666103	-0.1902490339561278	9.444420349835054	All pairs diff.
24	g__Wujia	-0.07702051531832901	-0.14670930391754192	9.333484287796422	All pairs diff.
25	g__Lachnoclostridium_B	-0.1253814429560893	-0.2385385146254711	9.083046369358875	All pairs diff.
27	g__Eubacterium_R	-0.0796125550474755	-0.17980472362623393	9.037172525897297	All pairs diff.
29	g__Onthenecus	-0.10152378064070607	-0.19520121373668287	8.848757527335291	All pairs diff.
31	g__Paraprevotella	-0.14583352479329983	-0.20793678734182172	8.41386912984267	All pairs diff.
35	g__CAG-177	-0.10396265239666307	-0.15514881127009275	7.728603241935245	All pairs diff.
38	g__Bariatricus	-0.09978707463612753	-0.2084220445204427	7.53610741443811	All pairs diff.
40	g__CAG-269	-0.10282472376156032	-0.14605752117193763	7.395111631925048	All pairs diff.
41	g__Choladousia	-0.12221710203568988	-0.18802846022525657	7.395111631925048	All pairs diff.
42	g__Hominifimenecus	-0.08253106137090589	-0.1337106003581976	7.091228883221809	All pairs diff.
43	g__Faecousia	-0.0976443640969019	-0.16886565633705217	7.01585607259801	All pairs diff.
45	g__Hominibacterium	-0.09310916981645657	-0.163394131929601	6.663685537117018	All pairs diff.
46	g__Eubacterium_G	-0.10381867450186497	-0.20719755073301982	6.5957748982541204	All pairs diff.
47	g__Coprococcus	-0.10279365254414197	-0.14530138054165517	6.397236004551921	All pairs diff.
52	g__CAG-238	-0.07018178412680905	-0.1270877165041924	6.260208468159662	All pairs diff.
57	g__Angelakisella	-0.06429477307727145	-0.11816078658183923	5.692367153041754	All pairs diff.
62	g__Aristaeella	-0.0949122850779822	-0.14449662338678354	5.236299218423565	All pairs diff.
75	g__Oliverpabstia	-0.09722523087883843	-0.16498345920542717	4.325392848311218	All pairs diff.
80	g__Dorea_D	-0.06468546081459979	-0.1084309156391536	4.194110527118496	All pairs diff.
85	g__Holdemanella	-0.07642086270329218	-0.1271528877936201	3.9126732115971175	All pairs diff.
